race,gender,rel,ses,sample,gad7_total,item1,item2,item3,item4,item5,item6,item7
White,Cisgender Man,Partnered,Low,0,16,2,3,3,2,1,2,3
White,Cisgender Man,Partnered,Middle,0,9,1,2,2,1,0,2,1
White,Cisgender Man,Partnered,High,0,9,1,2,2,1,0,2,1
White,Cisgender Man,Single,Low,0,16,2,3,3,2,1,2,3
White,Cisgender Man,Single,Middle,0,10,1,2,2,1,0,2,2
White,Cisgender Man,Single,High,0,10,1,2,2,1,0,2,2
White,Cisgender Woman,Partnered,Low,0,13,2,2,2,2,1,2,2
White,Cisgender Woman,Partnered,Middle,0,10,1,2,2,1,0,2,2
White,Cisgender Woman,Partnered,High,0,10,1,2,2,1,0,2,2
White,Cisgender Woman,Single,Low,0,16,2,3,3,2,1,2,3
White,Cisgender Woman,Single,Middle,0,10,1,2,2,1,0,2,2
White,Cisgender Woman,Single,High,0,10,1,2,2,1,0,2,2
Black,Cisgender Man,Partnered,Low,0,16,2,3,3,2,1,2,3
Black,Cisgender Man,Partnered,Middle,0,9,1,2,2,1,0,2,1
Black,Cisgender Man,Partnered,High,0,10,1,2,2,1,0,2,2
Black,Cisgender Man,Single,Low,0,16,2,3,3,2,1,2,3
Black,Cisgender Man,Single,Middle,0,10,1,2,2,1,0,2,2
Black,Cisgender Man,Single,High,0,10,1,2,2,1,0,2,2
Black,Cisgender Woman,Partnered,Low,0,16,2,3,3,2,1,2,3
Black,Cisgender Woman,Partnered,Middle,0,10,1,2,2,1,0,2,2
Black,Cisgender Woman,Partnered,High,0,10,1,2,2,1,0,2,2
Black,Cisgender Woman,Single,Low,0,13,2,2,2,2,1,2,2
Black,Cisgender Woman,Single,Middle,0,16,2,3,3,2,1,2,3
Black,Cisgender Woman,Single,High,0,10,1,2,2,1,0,2,2
Hispanic,Cisgender Man,Partnered,Low,0,16,2,3,3,2,1,2,3
Hispanic,Cisgender Man,Partnered,Middle,0,10,1,2,2,1,0,2,2
Hispanic,Cisgender Man,Partnered,High,0,9,1,2,2,1,0,2,1
Hispanic,Cisgender Man,Single,Low,0,16,2,3,3,2,1,3,2
Hispanic,Cisgender Man,Single,Middle,0,10,1,2,2,1,0,2,2
Hispanic,Cisgender Man,Single,High,0,10,1,2,2,1,0,2,2
Hispanic,Cisgender Woman,Partnered,Low,0,11,2,2,2,1,0,2,2
Hispanic,Cisgender Woman,Partnered,Middle,0,10,1,2,2,1,0,2,2
Hispanic,Cisgender Woman,Partnered,High,0,10,1,2,2,1,0,2,2
Hispanic,Cisgender Woman,Single,Low,0,16,2,3,3,2,1,2,3
Hispanic,Cisgender Woman,Single,Middle,0,12,1,2,2,2,1,2,2
Hispanic,Cisgender Woman,Single,High,0,10,1,2,2,1,0,2,2
Asian,Cisgender Man,Partnered,Low,0,16,2,3,3,2,1,2,3
Asian,Cisgender Man,Partnered,Middle,0,10,1,2,2,1,0,2,2
Asian,Cisgender Man,Partnered,High,0,9,1,2,2,1,0,2,1
Asian,Cisgender Man,Single,Low,0,16,2,3,3,2,1,2,3
Asian,Cisgender Man,Single,Middle,0,10,1,2,2,1,0,2,2
Asian,Cisgender Man,Single,High,0,10,1,2,2,1,0,2,2
Asian,Cisgender Woman,Partnered,Low,0,16,2,3,3,2,1,2,3
Asian,Cisgender Woman,Partnered,Middle,0,10,1,2,2,1,0,2,2
Asian,Cisgender Woman,Partnered,High,0,10,1,2,2,1,0,2,2
Asian,Cisgender Woman,Single,Low,0,13,2,2,2,2,1,2,2
Asian,Cisgender Woman,Single,Middle,0,10,1,2,2,1,0,2,2
Asian,Cisgender Woman,Single,High,0,12,1,2,2,2,1,2,2
Multiracial,Cisgender Man,Partnered,Low,0,13,2,2,2,2,1,2,2
Multiracial,Cisgender Man,Partnered,Middle,0,9,1,2,2,1,0,2,1
Multiracial,Cisgender Man,Partnered,High,0,9,1,2,2,1,0,2,1
Multiracial,Cisgender Man,Single,Low,0,16,2,3,3,2,1,2,3
Multiracial,Cisgender Man,Single,Middle,0,10,1,2,2,1,0,2,2
Multiracial,Cisgender Man,Single,High,0,10,1,2,2,1,0,2,2
Multiracial,Cisgender Woman,Partnered,Low,0,16,2,3,3,2,1,2,3
Multiracial,Cisgender Woman,Partnered,Middle,0,10,1,2,2,1,0,2,2
Multiracial,Cisgender Woman,Partnered,High,0,10,1,2,2,1,0,2,2
Multiracial,Cisgender Woman,Single,Low,0,16,2,3,3,2,1,2,3
Multiracial,Cisgender Woman,Single,Middle,0,10,1,2,2,1,0,2,2
Multiracial,Cisgender Woman,Single,High,0,10,1,2,2,1,0,2,2
