race,gender,rel,ses,framing,para,sample,phq8_total,item1,item2,item3,item4,item5,item6,item7,item8
White,Cisgender Man,Partnered,Low,clinical,v0,0,12,2,2,1,2,1,1,2,1
White,Cisgender Man,Partnered,Low,clinical,v0,1,14,2,3,1,2,1,2,2,1
White,Cisgender Man,Partnered,Low,clinical,v0,2,16,2,3,2,3,1,2,2,1
White,Cisgender Man,Partnered,Low,clinical,v0,3,15,2,3,2,2,1,2,2,1
White,Cisgender Man,Partnered,Low,clinical,v1,0,16,2,3,2,3,1,2,2,1
White,Cisgender Man,Partnered,Low,clinical,v1,1,15,2,3,2,2,1,2,2,1
White,Cisgender Man,Partnered,Low,clinical,v1,2,16,2,3,2,3,1,2,2,1
White,Cisgender Man,Partnered,Low,clinical,v1,3,16,2,3,2,3,1,2,2,1
White,Cisgender Man,Partnered,Low,narrative,v0,0,14,2,3,1,2,1,2,2,1
White,Cisgender Man,Partnered,Low,narrative,v0,1,14,2,3,1,2,1,2,2,1
White,Cisgender Man,Partnered,Low,narrative,v0,2,14,2,3,1,2,1,2,2,1
White,Cisgender Man,Partnered,Low,narrative,v0,3,14,2,3,1,2,1,2,2,1
White,Cisgender Man,Partnered,Low,narrative,v1,0,14,2,3,1,2,1,2,2,1
White,Cisgender Man,Partnered,Low,narrative,v1,1,14,2,3,1,2,1,2,2,1
White,Cisgender Man,Partnered,Low,narrative,v1,2,15,2,3,1,2,1,3,2,1
White,Cisgender Man,Partnered,Low,narrative,v1,3,14,2,3,1,2,1,2,2,1
White,Cisgender Man,Partnered,Middle,clinical,v0,0,11,2,2,1,2,0,1,1,2
White,Cisgender Man,Partnered,Middle,clinical,v0,1,11,2,1,2,2,0,1,1,2
White,Cisgender Man,Partnered,Middle,clinical,v0,2,11,2,2,1,2,0,1,2,1
White,Cisgender Man,Partnered,Middle,clinical,v0,3,9,1,2,1,2,0,1,1,1
White,Cisgender Man,Partnered,Middle,clinical,v1,0,10,2,1,2,1,0,2,1,1
White,Cisgender Man,Partnered,Middle,clinical,v1,1,10,1,2,1,2,0,1,2,1
White,Cisgender Man,Partnered,Middle,clinical,v1,2,11,2,2,1,2,0,1,2,1
White,Cisgender Man,Partnered,Middle,clinical,v1,3,11,2,2,1,2,0,1,2,1
White,Cisgender Man,Partnered,Middle,narrative,v0,0,14,2,1,2,3,1,2,1,2
White,Cisgender Man,Partnered,Middle,narrative,v0,1,9,1,2,1,2,0,1,1,1
White,Cisgender Man,Partnered,Middle,narrative,v0,2,10,2,1,2,1,0,2,1,1
White,Cisgender Man,Partnered,Middle,narrative,v0,3,10,1,2,1,2,0,1,2,1
White,Cisgender Man,Partnered,Middle,narrative,v1,0,10,2,1,2,1,0,1,2,1
White,Cisgender Man,Partnered,Middle,narrative,v1,1,13,2,3,1,2,1,2,1,1
White,Cisgender Man,Partnered,Middle,narrative,v1,2,14,2,3,1,2,1,2,2,1
White,Cisgender Man,Partnered,Middle,narrative,v1,3,10,2,1,2,1,0,1,2,1
White,Cisgender Man,Partnered,High,clinical,v0,0,11,2,2,1,2,0,1,2,1
White,Cisgender Man,Partnered,High,clinical,v0,1,10,1,2,2,1,0,1,1,2
White,Cisgender Man,Partnered,High,clinical,v0,2,9,1,2,1,2,0,1,1,1
White,Cisgender Man,Partnered,High,clinical,v0,3,10,1,2,2,1,0,1,1,2
White,Cisgender Man,Partnered,High,clinical,v1,0,9,1,2,2,1,0,1,1,1
White,Cisgender Man,Partnered,High,clinical,v1,1,9,1,2,1,2,0,1,1,1
White,Cisgender Man,Partnered,High,clinical,v1,2,10,1,2,2,1,0,1,1,2
White,Cisgender Man,Partnered,High,clinical,v1,3,10,2,1,2,1,0,1,2,1
White,Cisgender Man,Partnered,High,narrative,v0,0,8,1,2,1,2,0,1,1,0
White,Cisgender Man,Partnered,High,narrative,v0,1,10,2,1,2,1,0,1,2,1
White,Cisgender Man,Partnered,High,narrative,v0,2,8,1,2,1,2,0,0,1,1
White,Cisgender Man,Partnered,High,narrative,v0,3,8,1,2,1,1,0,0,2,1
White,Cisgender Man,Partnered,High,narrative,v1,0,12,2,3,1,2,1,2,1,0
White,Cisgender Man,Partnered,High,narrative,v1,1,10,2,1,2,1,0,1,2,1
White,Cisgender Man,Partnered,High,narrative,v1,2,10,2,2,1,1,0,1,1,2
White,Cisgender Man,Partnered,High,narrative,v1,3,12,2,3,2,1,0,1,2,1
