race,gender,rel,ses,framing,para,sample,phq8_total,item1,item2,item3,item4,item5,item6,item7,item8
White,Cisgender Man,Partnered,Low,clinical,v0,0,11,1,1,2,2,1,2,1,1
White,Cisgender Man,Partnered,Low,clinical,v0,1,11,1,1,2,2,1,1,2,1
White,Cisgender Man,Partnered,Low,clinical,v0,2,11,1,1,2,2,1,2,1,1
White,Cisgender Man,Partnered,Low,clinical,v0,3,11,1,1,2,2,1,1,2,1
White,Cisgender Man,Partnered,Low,clinical,v1,0,9,1,1,2,2,1,1,1,0
White,Cisgender Man,Partnered,Low,clinical,v1,1,9,1,1,2,2,1,1,1,0
White,Cisgender Man,Partnered,Low,clinical,v1,2,9,1,1,2,2,1,1,1,0
White,Cisgender Man,Partnered,Low,clinical,v1,3,9,1,1,2,2,1,1,1,0
White,Cisgender Man,Partnered,Low,narrative,v0,0,4,0,0,1,1,0,1,1,0
White,Cisgender Man,Partnered,Low,narrative,v0,1,3,0,0,1,1,0,0,1,0
White,Cisgender Man,Partnered,Low,narrative,v0,2,4,0,0,1,1,0,1,1,0
White,Cisgender Man,Partnered,Low,narrative,v0,3,3,0,0,1,1,0,0,1,0
White,Cisgender Man,Partnered,Low,narrative,v1,0,9,0,1,2,0,0,1,2,3
White,Cisgender Man,Partnered,Low,narrative,v1,1,9,0,1,2,0,0,1,2,3
White,Cisgender Man,Partnered,Low,narrative,v1,2,9,0,1,2,0,0,1,2,3
White,Cisgender Man,Partnered,Low,narrative,v1,3,9,0,1,2,0,0,1,2,3
White,Cisgender Man,Partnered,Middle,clinical,v0,0,8,0,1,2,1,0,1,1,2
White,Cisgender Man,Partnered,Middle,clinical,v0,1,10,1,1,2,2,0,1,1,2
White,Cisgender Man,Partnered,Middle,clinical,v0,2,8,0,1,1,1,0,1,2,2
White,Cisgender Man,Partnered,Middle,clinical,v0,3,10,1,1,2,2,0,1,1,2
White,Cisgender Man,Partnered,Middle,clinical,v1,0,6,0,1,1,2,0,1,1,0
White,Cisgender Man,Partnered,Middle,clinical,v1,1,8,0,1,2,1,0,1,1,2
White,Cisgender Man,Partnered,Middle,clinical,v1,2,8,0,1,2,1,0,1,2,1
White,Cisgender Man,Partnered,Middle,clinical,v1,3,4,0,0,1,1,0,1,1,0
White,Cisgender Man,Partnered,Middle,narrative,v0,0,0,0,0,0,0,0,0,0,0
White,Cisgender Man,Partnered,Middle,narrative,v0,1,0,0,0,0,0,0,0,0,0
White,Cisgender Man,Partnered,Middle,narrative,v0,2,0,0,0,0,0,0,0,0,0
White,Cisgender Man,Partnered,Middle,narrative,v0,3,0,0,0,0,0,0,0,0,0
White,Cisgender Man,Partnered,Middle,narrative,v1,0,9,0,1,2,0,0,1,2,3
White,Cisgender Man,Partnered,Middle,narrative,v1,1,9,0,1,2,0,0,1,2,3
White,Cisgender Man,Partnered,Middle,narrative,v1,2,2,0,0,1,1,0,0,0,0
White,Cisgender Man,Partnered,Middle,narrative,v1,3,3,0,0,1,1,0,0,1,0
White,Cisgender Man,Partnered,High,clinical,v0,0,2,0,0,1,0,0,0,1,0
