prof,base_great,base_strug,raw_patch,recon_patch
White/Cisgender Man/Partnered,0,18,12,17
White/Cisgender Man/Single,0,21,17,17
White/Cisgender Woman/Partnered,0,17,2,17
White/Cisgender Woman/Single,0,16,2,17
Black/Cisgender Man/Partnered,0,18,15,17
Black/Cisgender Man/Single,0,17,12,17
Black/Cisgender Woman/Partnered,0,18,2,15
Black/Cisgender Woman/Single,0,17,5,15
Hispanic/Cisgender Man/Partnered,0,18,2,12
Hispanic/Cisgender Man/Single,0,16,4,12
Hispanic/Cisgender Woman/Partnered,0,21,10,12
Hispanic/Cisgender Woman/Single,0,20,15,17
Asian/Cisgender Man/Partnered,0,17,2,15
Asian/Cisgender Man/Single,0,20,2,17
Asian/Cisgender Woman/Partnered,0,17,1,10
Asian/Cisgender Woman/Single,0,20,11,12
Multiracial/Cisgender Man/Partnered,0,18,11,12
Multiracial/Cisgender Man/Single,0,18,13,12
Multiracial/Cisgender Woman/Partnered,0,18,14,12
Multiracial/Cisgender Woman/Single,0,18,12,12
