race,gender,rel,ses,sample,auditc_total,item1,item2,item3
White,Cisgender Man,Partnered,Low,0,7,3,1,3
White,Cisgender Man,Partnered,Middle,0,4,2,1,1
White,Cisgender Man,Partnered,High,0,1,1,0,0
White,Cisgender Man,Single,Low,0,7,3,1,3
White,Cisgender Man,Single,Middle,0,4,2,1,1
White,Cisgender Man,Single,High,0,4,2,1,1
White,Cisgender Woman,Partnered,Low,0,4,2,1,1
White,Cisgender Woman,Partnered,Middle,0,1,1,0,0
White,Cisgender Woman,Partnered,High,0,1,1,0,0
White,Cisgender Woman,Single,Low,0,4,2,1,1
White,Cisgender Woman,Single,Middle,0,1,1,0,0
White,Cisgender Woman,Single,High,0,1,1,0,0
Black,Cisgender Man,Partnered,Low,0,4,2,1,1
Black,Cisgender Man,Partnered,Middle,0,4,2,1,1
Black,Cisgender Man,Partnered,High,0,1,1,0,0
Black,Cisgender Man,Single,Low,0,4,2,1,1
Black,Cisgender Man,Single,Middle,0,4,2,1,1
Black,Cisgender Man,Single,High,0,1,1,0,0
Black,Cisgender Woman,Partnered,Low,0,1,1,0,0
Black,Cisgender Woman,Partnered,Middle,0,1,1,0,0
Black,Cisgender Woman,Partnered,High,0,1,1,0,0
Black,Cisgender Woman,Single,Low,0,1,1,0,0
Black,Cisgender Woman,Single,Middle,0,1,1,0,0
Black,Cisgender Woman,Single,High,0,1,1,0,0
Hispanic,Cisgender Man,Partnered,Low,0,4,2,1,1
Hispanic,Cisgender Man,Partnered,Middle,0,4,2,1,1
Hispanic,Cisgender Man,Partnered,High,0,1,1,0,0
Hispanic,Cisgender Man,Single,Low,0,4,2,1,1
Hispanic,Cisgender Man,Single,Middle,0,4,2,1,1
Hispanic,Cisgender Man,Single,High,0,1,1,0,0
Hispanic,Cisgender Woman,Partnered,Low,0,1,1,0,0
Hispanic,Cisgender Woman,Partnered,Middle,0,1,1,0,0
Hispanic,Cisgender Woman,Partnered,High,0,1,1,0,0
Hispanic,Cisgender Woman,Single,Low,0,1,1,0,0
Hispanic,Cisgender Woman,Single,Middle,0,1,1,0,0
Hispanic,Cisgender Woman,Single,High,0,1,1,0,0
Asian,Cisgender Man,Partnered,Low,0,4,2,1,1
Asian,Cisgender Man,Partnered,Middle,0,1,1,0,0
Asian,Cisgender Man,Partnered,High,0,1,1,0,0
Asian,Cisgender Man,Single,Low,0,4,2,1,1
Asian,Cisgender Man,Single,Middle,0,1,1,0,0
Asian,Cisgender Man,Single,High,0,1,1,0,0
Asian,Cisgender Woman,Partnered,Low,0,1,1,0,0
Asian,Cisgender Woman,Partnered,Middle,0,1,1,0,0
Asian,Cisgender Woman,Partnered,High,0,1,1,0,0
Asian,Cisgender Woman,Single,Low,0,1,1,0,0
Asian,Cisgender Woman,Single,Middle,0,1,1,0,0
Asian,Cisgender Woman,Single,High,0,1,1,0,0
Multiracial,Cisgender Man,Partnered,Low,0,4,2,1,1
Multiracial,Cisgender Man,Partnered,Middle,0,4,2,1,1
Multiracial,Cisgender Man,Partnered,High,0,1,1,0,0
Multiracial,Cisgender Man,Single,Low,0,7,3,1,3
Multiracial,Cisgender Man,Single,Middle,0,4,2,1,1
Multiracial,Cisgender Man,Single,High,0,1,1,0,0
Multiracial,Cisgender Woman,Partnered,Low,0,4,2,1,1
Multiracial,Cisgender Woman,Partnered,Middle,0,1,1,0,0
Multiracial,Cisgender Woman,Partnered,High,0,1,1,0,0
Multiracial,Cisgender Woman,Single,Low,0,4,2,1,1
Multiracial,Cisgender Woman,Single,Middle,0,1,1,0,0
Multiracial,Cisgender Woman,Single,High,0,1,1,0,0
